cell_id,public_path,role,attempt,original_sha256,public_sha256,normalization
e-expert-reference-grasp_place-seed-00,data/skills/best/e-expert-reference-grasp_place-seed-00.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-01,data/logs/run/e-expert-reference-grasp_place-seed-01.json,run_log,,1f7dcb3e95b8558007abce043ce8507118e1d85b14148f0799e23bb8cd00a87a,bfdadc6f2ecdb112fa526e52f62e328ec8b94b68b6ab7d67c18ef6199f89afe3,privacy_release_labels
e-expert-reference-grasp_place-seed-01,data/scenes/e-expert-reference-grasp_place-seed-01.json,scene_bank,,3b4c642b5097ee34f17a323697eb631517c5ba79fc732f93b3058cd02f91c878,8a4b369d1028404427c53be902fa8ae14d2d0d8d4119d49e53852227f973c4c5,privacy_release_labels
e-expert-reference-grasp_place-seed-01,data/skills/best/e-expert-reference-grasp_place-seed-01.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-02,data/logs/run/e-expert-reference-grasp_place-seed-02.json,run_log,,806dd4c797853c23ebe62dc9e2f0f1c627788ac0c9bc3bef2c4a08a86cbbe2ab,17239c9024d80f5a6e396bb73ac2c44b51a0d5f66cc0cf8fead05f17fbea680a,privacy_release_labels
e-expert-reference-grasp_place-seed-02,data/scenes/e-expert-reference-grasp_place-seed-02.json,scene_bank,,b28f31cc927fee8774976e7ab367889992fd7fec6e7eec0ab85f9f1a3f30f8e9,ca80853e37b94107ee4652375ab30625def266b9a8c669d467f4be0c42151f9c,privacy_release_labels
e-expert-reference-grasp_place-seed-02,data/skills/best/e-expert-reference-grasp_place-seed-02.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-03,data/logs/run/e-expert-reference-grasp_place-seed-03.json,run_log,,9d9fb3dc58f9b1af2784e6143cd7a61acfa7b24ce6134aefd11319934e65d977,1fa162eb46bc8e2271063f2285ef31b9e3853b96362138583a3a185decc2787c,privacy_release_labels
e-expert-reference-grasp_place-seed-03,data/scenes/e-expert-reference-grasp_place-seed-03.json,scene_bank,,6274a3f1d0a96ef26981607477d6b32861d7c0c0e096fce41bfdfb07884db59c,212eb0c4c1b5be9bbacb198721a45c3a0e4678d716afeb4222f19165b0134bfc,privacy_release_labels
e-expert-reference-grasp_place-seed-03,data/skills/best/e-expert-reference-grasp_place-seed-03.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-04,data/logs/run/e-expert-reference-grasp_place-seed-04.json,run_log,,59ce933d015fb46228126dc7fb2379a991048c2531c677f20d3cd39388e04358,5b489c42b8d80accfbb0a649192d5d32b454b335b15fb65401d0dc33dc6bbdb2,privacy_release_labels
e-expert-reference-grasp_place-seed-04,data/scenes/e-expert-reference-grasp_place-seed-04.json,scene_bank,,6604db926758a27778f8fcd7db9f328065e9b7e411cb9b77449baa2675029627,d2e8f3b1f465e1120edd62845215d6d04e954570f89ec604d02754105bb49782,privacy_release_labels
e-expert-reference-grasp_place-seed-04,data/skills/best/e-expert-reference-grasp_place-seed-04.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-05,data/logs/run/e-expert-reference-grasp_place-seed-05.json,run_log,,e5363a390ff1ff8526955ff43720e4cfb49e4c57ab1ea3a8354cc6512817d928,3afb87d3bd3ba22c15e3f4d8f743a6b2dde455315dd22223a29e6de830ec6ca3,privacy_release_labels
e-expert-reference-grasp_place-seed-05,data/scenes/e-expert-reference-grasp_place-seed-05.json,scene_bank,,ef12bbc9cac8a787e5927282d1c84a0f54332e4f462334649cac9921d7de2883,dc6faa3014bd8bf1e61cae81b9dc8f3415919d6a87ea26cbfec3211252787998,privacy_release_labels
e-expert-reference-grasp_place-seed-05,data/skills/best/e-expert-reference-grasp_place-seed-05.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-06,data/logs/run/e-expert-reference-grasp_place-seed-06.json,run_log,,fba4898d12cf68b1878d0b23a2fa72e2f34b168fcdf6801d0d48626ed1c5d299,7248d0dece38cea9b7f3628706445c8f64e8cdab525cb25fdc6930c419e71fa9,privacy_release_labels
e-expert-reference-grasp_place-seed-06,data/scenes/e-expert-reference-grasp_place-seed-06.json,scene_bank,,0f044fa0948ad3ee249254d200ae635fc18a6b58d54edfd7dae87ca1ebefb55c,0d955677ed1830f8e537365d18b59e43bca30004fdb8897ac1384f907d815771,privacy_release_labels
e-expert-reference-grasp_place-seed-06,data/skills/best/e-expert-reference-grasp_place-seed-06.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-07,data/logs/run/e-expert-reference-grasp_place-seed-07.json,run_log,,f042b602394039bd1ff2f4edd411627add4b6e666f6231ba3e7748db3db81f48,31d5854f965c40d7c6abac484c954b384e90a115eff2a93c155fbcb6ef7f172a,privacy_release_labels
e-expert-reference-grasp_place-seed-07,data/scenes/e-expert-reference-grasp_place-seed-07.json,scene_bank,,fddb429d2be3a2c1aaf6d2b603477d82e5199ea9263587bdd3a5e2a8cac28e89,a395b1ad42c7edb41f6d6930811dbf007c5eb1b3a2ddcc9934a405da8df70bb2,privacy_release_labels
e-expert-reference-grasp_place-seed-07,data/skills/best/e-expert-reference-grasp_place-seed-07.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-08,data/logs/run/e-expert-reference-grasp_place-seed-08.json,run_log,,50dd3fac826b7d632ea75fe15bafa88339200e23a916fc6b3bf521dfa8fc3b2f,0e1cfedf4a76ec5b0cfda2b8ae7f68bc18f967f443b2b54eb6361d742c84f381,privacy_release_labels
e-expert-reference-grasp_place-seed-08,data/scenes/e-expert-reference-grasp_place-seed-08.json,scene_bank,,5cf6a707c85cf062f49a949607809933bc6b26638475ce2264963281a6170ec8,afab87fc84c945a98415dee0dc66cca64395e8dfe499349618464ccecbd4b950,privacy_release_labels
e-expert-reference-grasp_place-seed-08,data/skills/best/e-expert-reference-grasp_place-seed-08.yaml,selected_skill,,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,privacy_release_labels
e-expert-reference-grasp_place-seed-09,data/logs/run/e-expert-reference-grasp_place-seed-09.json,run_log,,3833c71a8ebbd3e9da80c04b3a1a9d37dc206bc9d3a82f6fd548819e6037f9d7,805ec9f44e71991d1d485102bace136dbb64c77601cfe9cfc57e8f5abc11b0c3,privacy_release_labels
