arm,initialization,method,subtask_mode,task,n_seeds,n_cells_with_15_budgeted_records,first_best_attempt_mean,first_best_attempt_sample_sd,selected_best_canonical_score_mean,selected_best_canonical_score_sample_sd,terminal_candidate_score_mean,terminal_candidate_score_sample_sd,best_minus_terminal_absolute_drop_mean,best_minus_terminal_absolute_drop_sample_sd,retained_best_indicator_mean,retained_best_indicator_sample_sd,number_of_budgeted_records_mean,number_of_budgeted_records_sample_sd
create-mapqd-fixed,Create,MAP-QD,FixedST,peg_insert,10,10,8.0,4.988876515698588,0.9110233192286353,0.04658384206156437,0.8703982897320085,0.05510629695056041,0.040625029496626844,0.049742207613627985,0.2,0.4216370213557839,15.0,0.0
create-mapqd-fixed,Create,MAP-QD,FixedST,push_to_goal,10,10,4.3,4.056544780420347,0.8728436782137684,0.07210366761439008,0.4846764038008884,0.2724274250453319,0.38816727441288,0.2546331223355913,0.0,0.0,15.0,0.0
random-bandit-fixed,Random,BanditRefine,FixedST,door_push,10,10,8.1,3.4464152068167553,0.6009965441238725,0.04644465547476419,0.40873321378915245,0.08248777768753719,0.19226333033472,0.08686861350220187,0.0,0.0,15.0,0.0
random-bandit-fixed,Random,BanditRefine,FixedST,grasp_place,10,10,5.5,3.3747427885527643,0.2248964999267936,0.043671310207998755,0.16046764624561372,0.018499075260426278,0.0644288536811799,0.04354731937008534,0.0,0.0,15.0,0.0
random-bandit-fixed,Random,BanditRefine,FixedST,obstacle_reach,10,10,9.8,5.00666222813829,0.16388808513152656,0.2600600045938224,0.14955407375071958,0.26466258355281996,0.014334011380806987,0.043315337958562725,0.3,0.48304589153964794,15.0,0.0
random-bandit-fixed,Random,BanditRefine,FixedST,peg_channel,10,10,7.1,5.915140648276158,0.6014968614439746,0.28428986171028087,0.49589037202843134,0.3056096421569763,0.1056064894155433,0.10753242604209187,0.3,0.48304589153964794,15.0,0.0
random-bandit-fixed,Random,BanditRefine,FixedST,peg_insert,10,10,8.4,4.2998707990925595,0.965609372791159,0.01794357559254606,0.9386062568691472,0.05673723748051754,0.027003115922011822,0.04715373093735039,0.1,0.31622776601683794,15.0,0.0
random-bandit-fixed,Random,BanditRefine,FixedST,push_to_goal,10,10,6.3,6.1472667819844045,0.4508231198392753,0.42509080957324885,0.3554507016897875,0.38203300921714317,0.09537241814948778,0.1464658162249511,0.4,0.5163977794943222,15.0,0.0
random-language-fixed,Random,LLMRefine,FixedST,door_push,10,5,6.1,4.201851443775179,0.9979657245835317,0.0064329437041274334,0.8042324439740244,0.31049145475895973,0.19373328060950729,0.31114714524093107,0.6,0.5163977794943222,14.5,0.5270462766947299
random-language-fixed,Random,LLMRefine,FixedST,grasp_place,10,6,8.7,3.497618237219913,0.7510958876263159,0.2964261431897269,0.6075787823071832,0.35287544537963783,0.14351710531913267,0.22983243675574538,0.5,0.5270462766947299,14.6,0.5163977794943222
random-language-fixed,Random,LLMRefine,FixedST,obstacle_reach,10,6,10.6,3.893013685508382,0.9181163210477372,0.1177096522004533,0.7686830384823342,0.3853223199014768,0.14943328256540306,0.3186772073591858,0.2,0.4216370213557839,14.6,0.5163977794943222
random-language-fixed,Random,LLMRefine,FixedST,peg_channel,10,7,8.3,5.012207320355197,0.5038994140560745,0.32954872679066116,0.23657243838382797,0.2569464574101106,0.2673269756722466,0.2565068615955279,0.1,0.31622776601683794,14.7,0.48304589153964794
random-language-fixed,Random,LLMRefine,FixedST,peg_insert,10,7,9.8,6.81175454637056,0.9283721720741517,0.04422096403138328,0.9092627802621571,0.04231653243706283,0.019109391811994537,0.03609828051739965,0.5,0.5270462766947299,14.7,0.48304589153964794
random-language-fixed,Random,LLMRefine,FixedST,push_to_goal,10,8,11.2,2.3944379994757297,0.8877887333975752,0.09265690563268511,0.5791154450667888,0.38994048045850543,0.30867328833078644,0.36257691553511906,0.2,0.4216370213557839,14.8,0.4216370213557839
random-language-free,Random,LLMRefine,FreeST,door_push,10,6,5.8,4.9396356140913875,0.9678414962732513,0.07010396343397432,0.8784681773452193,0.22861201793203573,0.08937331892803199,0.2130652021528794,0.7,0.48304589153964794,14.6,0.5163977794943222
random-language-free,Random,LLMRefine,FreeST,grasp_place,10,7,8.8,5.4528280124476085,0.6437358293398385,0.33128315055554386,0.4268668797877229,0.34764425614940164,0.2168689495521156,0.32575901417139275,0.4,0.5163977794943222,14.7,0.48304589153964794
random-language-free,Random,LLMRefine,FreeST,obstacle_reach,10,5,10.9,2.6012817353502227,0.7906671705085674,0.2285419727872183,0.6967272248248972,0.36260205695846426,0.09393994568367013,0.16378331819269903,0.1,0.31622776601683794,14.5,0.5270462766947299
random-language-free,Random,LLMRefine,FreeST,peg_channel,10,10,10.9,4.840798832148815,0.4898903941179141,0.2888109262396593,0.2284400929991531,0.30157855128248834,0.261450301118761,0.24935922464303142,0.2,0.4216370213557839,15.0,0.0
random-language-free,Random,LLMRefine,FreeST,peg_insert,10,7,5.2,5.553777493242275,0.9023830754110808,0.05202622716855428,0.8824118839601138,0.04667648333820575,0.019971191450967006,0.02684576323906702,0.2,0.4216370213557839,14.7,0.48304589153964794
random-language-free,Random,LLMRefine,FreeST,push_to_goal,10,7,7.9,4.254409477236529,0.7650517233125328,0.1252190212289379,0.4804667720193743,0.3659651025834039,0.2845849512931585,0.3477431317160411,0.1,0.31622776601683794,14.7,0.48304589153964794
random-mapqd-fixed,Random,MAP-QD,FixedST,door_push,10,10,6.9,4.863697724525606,0.5823060814113432,0.027490075353331596,0.36729589938090995,0.09510495670775017,0.2150101820304332,0.09516829729027788,0.0,0.0,15.0,0.0
random-mapqd-fixed,Random,MAP-QD,FixedST,grasp_place,10,10,6.2,4.184627953726724,0.25602192840418875,0.0837630786852894,0.20275714652114443,0.10285663811595024,0.05326478188304431,0.028526847942131194,0.1,0.31622776601683794,15.0,0.0
random-mapqd-fixed,Random,MAP-QD,FixedST,obstacle_reach,10,10,9.8,4.962078417580906,0.10727681187668701,0.16960422990108892,0.02358811831262257,0.04976655702559406,0.08368869356406444,0.17415203956003686,0.3,0.48304589153964794,15.0,0.0
random-mapqd-fixed,Random,MAP-QD,FixedST,peg_channel,10,10,8.0,4.898979485566356,0.6198529101832425,0.3547334919106109,0.357402448894154,0.3303327515427609,0.26245046128908844,0.3122099406130559,0.2,0.4216370213557839,15.0,0.0
random-mapqd-fixed,Random,MAP-QD,FixedST,peg_insert,10,10,9.5,4.600724580614087,0.9675743760119934,0.016604186061044187,0.9553541709087178,0.012852200309867945,0.012220205103275528,0.010609131760132694,0.2,0.4216370213557839,15.0,0.0
random-mapqd-fixed,Random,MAP-QD,FixedST,push_to_goal,10,10,5.8,5.902918298980975,0.4841175653328585,0.41815763514920185,0.27973138709213924,0.33989925064344395,0.20438617824071922,0.2954781221629373,0.5,0.5270462766947299,15.0,0.0
scaffold-bandit-fixed,Scaffold,BanditRefine,FixedST,door_push,10,10,6.8,3.823901439919996,0.5683311177097147,0.05249586260118336,0.3871889952930718,0.1773940592651993,0.18114212241664282,0.1510808300010007,0.0,0.0,15.0,0.0
scaffold-bandit-fixed,Scaffold,BanditRefine,FixedST,grasp_place,10,10,8.2,3.675746333890726,0.3594540395090033,0.11417754734147129,0.2578192578107612,0.0974289058288314,0.10163478169824205,0.07227362867347356,0.1,0.31622776601683794,15.0,0.0
scaffold-bandit-fixed,Scaffold,BanditRefine,FixedST,obstacle_reach,10,10,7.3,6.129165250396392,0.12582752960045865,0.17990678209969255,0.08630635903277079,0.1523398053418689,0.03952117056768787,0.07060117911964091,0.2,0.4216370213557839,15.0,0.0
scaffold-bandit-fixed,Scaffold,BanditRefine,FixedST,peg_channel,10,10,8.7,3.8311588035185618,0.798568141568749,0.09967185976344137,0.5183215926845459,0.16286652357829842,0.280246548884203,0.1641314112097007,0.1,0.31622776601683794,15.0,0.0
scaffold-bandit-fixed,Scaffold,BanditRefine,FixedST,peg_insert,10,10,11.1,4.532597979574677,0.9466748845613315,0.02286392556761232,0.922772528696725,0.03575385318189885,0.02390235586460654,0.026125182137888364,0.2,0.4216370213557839,15.0,0.0
scaffold-bandit-fixed,Scaffold,BanditRefine,FixedST,push_to_goal,10,10,8.8,4.366539438350084,0.9096253652013677,0.036133794498156936,0.6890633956254968,0.2132593136013841,0.22056196957587088,0.19409634450159707,0.0,0.0,15.0,0.0
scaffold-language-fixed,Scaffold,LLMRefine,FixedST,door_push,10,4,4.4,3.6575644598253874,0.9982165396869462,0.005639796705766927,0.9343610592055267,0.1386756099023356,0.06385548048141948,0.13470690552780573,0.8,0.4216370213557839,14.4,0.5163977794943222
scaffold-language-fixed,Scaffold,LLMRefine,FixedST,grasp_place,10,6,7.7,4.547282460742655,0.7630591832419455,0.23733944597516352,0.46436431766350245,0.33531704315025357,0.2986948655784431,0.2976259767348112,0.3,0.48304589153964794,14.6,0.5163977794943222
scaffold-language-fixed,Scaffold,LLMRefine,FixedST,obstacle_reach,10,7,8.4,3.6575644598253874,0.9258487886563395,0.051808870189602445,0.7851290357181899,0.2767950009757375,0.14071975293814948,0.25183151472265763,0.1,0.31622776601683794,14.7,0.48304589153964794
scaffold-language-fixed,Scaffold,LLMRefine,FixedST,peg_channel,10,7,5.8,4.917090377222873,0.5958363466802172,0.20801763481363608,0.2042596150527733,0.2921180916559198,0.39157673162744394,0.2826817056334105,0.0,0.0,14.7,0.48304589153964794
scaffold-language-fixed,Scaffold,LLMRefine,FixedST,peg_insert,10,7,11.2,3.155242550986462,0.8238651585964504,0.2922108387640515,0.8051821127155319,0.287538988564203,0.018683045880918514,0.03802982811920077,0.3,0.48304589153964794,14.7,0.48304589153964794
scaffold-language-fixed,Scaffold,LLMRefine,FixedST,push_to_goal,10,5,9.3,4.715223571935199,0.8173376856136674,0.0784744097244564,0.5916566476248412,0.2814796470173009,0.2256810379888263,0.29297756966882477,0.2,0.4216370213557839,14.5,0.5270462766947299
scaffold-language-free,Scaffold,LLMRefine,FreeST,door_push,10,3,4.4,3.40587727318528,1.0,0.0,0.9494843629824359,0.1519948352532487,0.0505156370175641,0.1519948352532487,0.8,0.4216370213557839,14.3,0.48304589153964794
scaffold-language-free,Scaffold,LLMRefine,FreeST,grasp_place,10,4,8.4,3.6270588023294517,0.8879498345468757,0.18773689362377705,0.7030109955195437,0.3861917872311425,0.18493883902733207,0.27650535628044604,0.6,0.5163977794943222,14.4,0.5163977794943222
scaffold-language-free,Scaffold,LLMRefine,FreeST,obstacle_reach,10,6,10.0,4.08248290463863,0.8949282692562338,0.11860135365415563,0.8267945467649191,0.1721791836905518,0.06813372249131464,0.12854952813600132,0.2,0.4216370213557839,14.6,0.5163977794943222
scaffold-language-free,Scaffold,LLMRefine,FreeST,peg_channel,10,8,6.8,5.827139568909908,0.5002170108469194,0.22382397732316192,0.046111898831436,0.10036334169704149,0.4541051120154834,0.28232957921210095,0.1,0.31622776601683794,14.8,0.4216370213557839
scaffold-language-free,Scaffold,LLMRefine,FreeST,peg_insert,10,6,10.4,3.806427312965386,0.884925227374125,0.04525309001268815,0.8783546294052091,0.04596586001016219,0.006570597968915903,0.00504447932342561,0.2,0.4216370213557839,14.6,0.5163977794943222
scaffold-language-free,Scaffold,LLMRefine,FreeST,push_to_goal,10,4,5.3,3.7727090178455764,0.7980562618673813,0.07334831369549097,0.3532238237167883,0.30067027360692383,0.44483243815059303,0.34040939571375217,0.0,0.0,14.4,0.5163977794943222
scaffold-mapqd-fixed,Scaffold,MAP-QD,FixedST,door_push,10,10,8.0,5.887840577551898,0.5826949561886133,0.05593719999705971,0.4588763678146557,0.1355178494350642,0.12381858837395762,0.1333430879938695,0.2,0.4216370213557839,15.0,0.0
scaffold-mapqd-fixed,Scaffold,MAP-QD,FixedST,grasp_place,10,10,8.7,4.295992965026311,0.3667356114136077,0.07761167955032611,0.24780608907941154,0.10768232806656701,0.1189295223341962,0.09563765752795984,0.2,0.4216370213557839,15.0,0.0
scaffold-mapqd-fixed,Scaffold,MAP-QD,FixedST,obstacle_reach,10,10,10.7,3.653004851412662,0.16641093316234018,0.19139823764737474,0.05703204057680792,0.12909779323637827,0.10937889258553225,0.15790050431424926,0.1,0.31622776601683794,15.0,0.0
scaffold-mapqd-fixed,Scaffold,MAP-QD,FixedST,peg_channel,10,10,5.1,3.573047252229764,0.8125456951624509,0.11514540294527355,0.35005489114223626,0.21729627551071984,0.4624908040202146,0.2504560040621749,0.0,0.0,15.0,0.0
scaffold-mapqd-fixed,Scaffold,MAP-QD,FixedST,peg_insert,10,10,8.5,4.089281382128433,0.9319622877893545,0.024806946144893042,0.8851344609783871,0.04968056985375033,0.0468278268109674,0.0283541072421479,0.0,0.0,15.0,0.0
scaffold-mapqd-fixed,Scaffold,MAP-QD,FixedST,push_to_goal,10,10,5.8,4.638007234913623,0.894306621111963,0.054257488914272026,0.4194987727779556,0.3016561624626907,0.4748078483340074,0.2800716642440429,0.0,0.0,15.0,0.0
